"category","name","source_url","local_path","status","notes","bytes","sha256","accessed_at"
"restricted-or-failed","Commercial Boston Naming Test materials","https://proedinc.com/products-11870.html","","not_downloaded","Commercial page saved as HTML; copyrighted materials were not downloaded.","","","2026-05-23T17:24:20"
"papers","MDPI 2022 Five Word Test adaptation PDF official resource","https://mdpi-res.com/d_attachment/geriatrics/geriatrics-07-00049/article_deploy/geriatrics-07-00049.pdf","C:\project\saerok-memory\cognitve-reference\papers\mdpi_2022_five_word_test_adaptation.pdf","downloaded_pdf","Official MDPI resource PDF discovered after the report URL returned HTTP 403; PDF signature verified during validation.","295392","ACEAAADA0EF532F95831DD3FE3B4ABF0F98FE9ED702918E42F4A1CCF05367AC4","2026-05-23T18:22:31"
"web-page","PMC5388755 article page","https://pmc.ncbi.nlm.nih.gov/articles/PMC5388755/","C:\project\saerok-memory\cognitve-reference\web-pages\pmc5388755_pmc_article.html","saved_html","Original report PMC article page saved; paper PDF is also archived through Europe PMC render endpoint.","203384","9D7DCDA97B0B7E2D14DE65BFDB140CE88B362C7FA8FAA1B5F04447E1DB2F0723","2026-05-23T18:22:31"
"web-page","PMC5619209 article page","https://pmc.ncbi.nlm.nih.gov/articles/PMC5619209/","C:\project\saerok-memory\cognitve-reference\web-pages\pmc5619209_pmc_article.html","saved_html","Original report PMC article page saved; paper PDF is also archived through Europe PMC render endpoint.","215427","9AC30E865F7AD5CAFF15F254AE248272E9A4522E3E81BF484D1727FC96814027","2026-05-23T18:22:31"
"web-page","PMC5632878 article page","https://pmc.ncbi.nlm.nih.gov/articles/PMC5632878/","C:\project\saerok-memory\cognitve-reference\web-pages\pmc5632878_pmc_article.html","saved_html","Original report PMC article page saved; paper PDF is also archived through Europe PMC render endpoint.","155464","3463637FC30C05BCCCD838A05DAD5B261534D48EDB93400971F1DC9D23A15F73","2026-05-23T18:22:31"
"metadata","PMC4821477 NCBI OA status","https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC4821477","C:\project\saerok-memory\cognitve-reference\metadata\pmc_oa_status_PMC4821477.xml","downloaded_metadata","NCBI OA API reports this PMC record is not Open Access for OA package download.","222","13810B969310F5B906C572562EB852F2DA82D87CD87D3A10E37F28A3BBF3252D","2026-05-23T18:22:31"
"metadata","PMC9049046 NCBI OA status","https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC9049046","C:\project\saerok-memory\cognitve-reference\metadata\pmc_oa_status_PMC9049046.xml","downloaded_metadata","NCBI OA API reports this PMC record is not Open Access for OA package download.","222","0FC35B300A1014C861A970ED55840C581C99C2E3D6178DA255CD6D9E9F37861C","2026-05-23T18:22:31"
"metadata","PMC9153280 NCBI OA status","https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC9153280","C:\project\saerok-memory\cognitve-reference\metadata\pmc_oa_status_PMC9153280.xml","downloaded_metadata","NCBI OA API reports this PMC record is not Open Access for OA package download.","222","441E16898962E4CA752B51CD13708B1A3F2D79A0CAA207F903A6CC9C795C75E3","2026-05-23T18:22:31"
"metadata","PMC5388755 NCBI OA status","https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC5388755","C:\project\saerok-memory\cognitve-reference\metadata\pmc_oa_status_PMC5388755.xml","downloaded_metadata","NCBI OA API status saved; OA package link is recorded in XML, while PDF is archived separately.","447","9A5444539406F17849D3A29FF5DC6EB7DA23016B045C7D5C1DD465F4B252AD24","2026-05-23T18:22:31"
"metadata","PMC5619209 NCBI OA status","https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC5619209","C:\project\saerok-memory\cognitve-reference\metadata\pmc_oa_status_PMC5619209.xml","downloaded_metadata","NCBI OA API status saved; OA package link is recorded in XML, while PDF is archived separately.","459","8A550F9BABC1A9223DFDDCA0628795139AF45DFC41329C4D1F5793EB1B4FDB0E","2026-05-23T18:22:31"
"metadata","PMC5632878 NCBI OA status","https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC5632878","C:\project\saerok-memory\cognitve-reference\metadata\pmc_oa_status_PMC5632878.xml","downloaded_metadata","NCBI OA API status saved; OA package link is recorded in XML, while PDF is archived separately.","453","2D1A9B65CC75ED59CE0BA75C72186CDD089D14C40FB7FB4EF8D7FD2F49EB8CCE","2026-05-23T18:22:31"
"web-page","Gale full-text page for Bowie Harvey 2006 TMT","https://go.gale.com/ps/i.do?asid=3e489872&id=GALE%7CA182037455&it=r&p=HRCA&u=googlescholar&v=2.1","C:\project\saerok-memory\cognitve-reference\web-pages\gale_bowie_harvey_2006_tmt.html","saved_html","Public article text page found while trying to replace the ResearchGate link; original Nature PDF was not locally downloadable.","114164","A1D38036A32FECB1E6BC601B6B2B23670791288B3283FC01812A63810F253A67","2026-05-23T18:22:31"
"web-page","Nature Protocols TMT challenge page","https://www.nature.com/articles/nprot.2006.390","C:\project\saerok-memory\cognitve-reference\web-pages\nature_bowie_harvey_2006_tmt.html","saved_challenge_html","Nature endpoint returned a client challenge HTML in this environment.","3038","32ED63159C77E21EE19CA1B9AA3213CCF0218EB59539560B132A8E68EF0E18EA","2026-05-23T18:22:31"
"restricted-or-failed","SAGE Five Word Test article page","https://journals.sagepub.com/doi/10.1177/0891988712445088","","not_downloaded","Local download attempt returned HTTP 403; do not bypass publisher access controls. Browser search could view article metadata/abstract, but no local file could be saved through available shell download tools.","","","2026-05-23T18:22:31"
"restricted-or-failed","ResearchGate TMT article page","https://www.researchgate.net/publication/6416422_Administration_and_interpretation_of_Trail_Making_Test","","not_downloaded","Local download attempt returned HTTP 403. A Gale public full-text page for the same Nature Protocols article was saved separately as an alternative reference.","","","2026-05-23T18:22:31"
"restricted-or-failed","Nature Protocols TMT PDF","https://www.nature.com/articles/nprot.2006.390.pdf","","not_downloaded","Direct PDF request returned a client challenge HTML, not a PDF; invalid artifact was removed.","","","2026-05-23T18:22:31"
"metadata","report URL coverage CSV","C:\project\saerok-memory\deep-research-report.md","C:\project\saerok-memory\cognitve-reference\metadata\report_url_coverage.csv","generated","Every unique URL extracted from the source report mapped to a manifest status; missing count was zero at generation time.","14515","60D3C8E05E056A966C767C20A418B4A8C505B58C60C5494184D06BDBF4809A09","2026-05-23T18:25:13"
"papers","MDPI 2022 Five Word Test adaptation PDF report URL alias","https://www.mdpi.com/2308-3417/7/2/49","C:\project\saerok-memory\cognitve-reference\papers\mdpi_2022_five_word_test_adaptation.pdf","downloaded_pdf","The report article URL returned HTTP 403 locally, but the same article PDF was downloaded from MDPI public resource host and stored at this local path.","295392","ACEAAADA0EF532F95831DD3FE3B4ABF0F98FE9ED702918E42F4A1CCF05367AC4","2026-05-23T18:25:12"
"metadata","OpenAlex OA status for PubMed original papers","https://api.openalex.org/works/{doi}","C:\project\saerok-memory\cognitve-reference\metadata\openalex_missing_pubmed_oa.json","downloaded_metadata","OpenAlex metadata check for seven PubMed original papers whose public PMC PDFs were unavailable; no additional OA PDF URL was reported.","6731","EF94826995737ACAB4FDC3ABB6AC13F92A3B62C715FA838420E3B98E5D7ACAB4","2026-05-23T18:50:39"
"metadata","Unpaywall API availability note for PubMed original papers","https://unpaywall.org/products/api","C:\project\saerok-memory\cognitve-reference\metadata\unpaywall_missing_pubmed_oa.json","downloaded_metadata","Unpaywall could not be used for OA lookup because it requires the caller to provide their own email address.","2609","9F2435016BEFB16CDBE9EDB711A26A890DB6F611970CE0515769ECAAA37B9250","2026-05-23T18:50:39"
